keyword,status,library_id,date,page_name,page_link,sponsored,ad_text,media_url
online casino,Inactive,808358651722440,14 Sep 2025 - 23 Oct 2025,Trang Chủ S8,https://web.facebook.com/61550077410140/,Yes,,
online casino,Inactive,1460660381914700,19 Aug 2025 - 25 Sep 2025,BetAlly,https://web.facebook.com/betally.official/,Yes,"Ready to Launch Your iGaming Business?🚀

BetAlly provides an all-in-one platform for just $1,000/month, tailored to help businesses thrive in the fast-growing iGaming industry. Our comprehensive solution includes:

- Sportsbook Management Tools
- Engaging Casino and Virtual Game Integration
- Advanced Back Office for Seamless Operations
- Reliable and Secure Payment Solutions

We’re here to support your journey with tools and strategies designed to fit your unique vision.

👉 Ready to take the first step? Fill out the form today, and our team will guide you toward success!",https://scontent.fpnh5-3.fna.fbcdn.net/v/t39.35426-6/514051916_710306615053358_6651041810361030960_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=41h90GFv-EIQ7kNvwFpELTl&_nc_oc=AdpuJJ71S4pKgY5dspvZ1a-RiYA6zSiWUckxDDRPI4-NHH9LKLebltFSS6DiBE7afig&_nc_zt=14&_nc_ht=scontent.fpnh5-3.fna&_nc_gid=i6Rk4OY5jzUK0sOAzzeLFQ&_nc_ss=7f289&oh=00_Af6kJbX09yfRZkvO2K-2mdLM7zXlS6nirDLcuJmxMMIekw&oe=6A0B7F94
online casino,Inactive,7741222926001410,21 Apr 2025 - 29 May 2025,Maincard,https://web.facebook.com/61561568430682/,Yes,"Ever thought about running your own online casino? Our turnkey iGaming solution lets you launch in just 30 minutes—complete with sportsbook, slots, and secure payments. Enjoy a quick setup, 24/7 support, and rapid return on investment. Ready to get started?",https://video.fpnh5-2.fna.fbcdn.net/o1/v/t2/f2/m69/AQOKQdmCjhVjCKLabJpx9p2UC5cVKeXGKIz4Benbxlw5ZQlEHsnXpBWPc_JhNnIhkgTmD-ElZh0BQTBfvJu53CVA.mp4?strext=1&_nc_cat=109&_nc_oc=Adr73V_ZNdzpUTEIYdcTZPNAnAh1QJdg6TJCuAx5kBosLORz891n0wfxEZ4juLzp75o&_nc_sid=8bf8fe&_nc_ht=video.fpnh5-2.fna.fbcdn.net&_nc_ohc=D7WQkeG9lBYQ7kNvwGpbGpL&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MTg2Njc3NDM2NzQ5MzkzMCwiYXNzZXRfYWdlX2RheXMiOjM4OCwidmlfdXNlY2FzZV9pZCI6MTA3OTksImR1cmF0aW9uX3MiOjE4LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=i6Rk4OY5jzUK0sOAzzeLFQ&_nc_ss=7f289&_nc_zt=28&oh=00_Af5BCQLSESd1UcXM5SHXiLAbjxaLSlSsr6XVJgb-MJIsvQ&oe=6A0B8F15
online casino,Inactive,2080198005800083,21 Apr 2025 - 29 May 2025,Maincard,https://web.facebook.com/61561568430682/,Yes,"Ever thought about running your own online casino? Our turnkey iGaming solution lets you launch in just 30 minutes—complete with sportsbook, slots, and secure payments. Enjoy a quick setup, 24/7 support, and rapid return on investment. Ready to get started?",https://video.fpnh5-3.fna.fbcdn.net/o1/v/t2/f2/m69/AQMS6lDuL8STNws7blG4r4sqpH-5QqqjXkZ1vKYhx34MVULCiGp6EIJKQIHrZ76drBrfCSKRVyWewLlgEo6DY3n6.mp4?strext=1&_nc_cat=106&_nc_oc=AdoaqGdKcDk10agHei52mD4RPkfsK5iCD2CWB-ZcIWxN965PRouEuHSfhEFKpz_NC4A&_nc_sid=8bf8fe&_nc_ht=video.fpnh5-3.fna.fbcdn.net&_nc_ohc=uxoOAVkP0PsQ7kNvwEoLdxc&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6Njc5MTM3NTExMTQ5ODc4LCJhc3NldF9hZ2VfZGF5cyI6Mzg4LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6MjUsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=i6Rk4OY5jzUK0sOAzzeLFQ&_nc_ss=7f289&_nc_zt=28&oh=00_Af68RTwv88J_OAqTSXgnQDHzCKqMnmMz6MWFsgCv_djBSQ&oe=6A0B863C
online casino,Inactive,3125869170932618,13 Jan 2026 - 6 Apr 2026,Source Code Lab,https://web.facebook.com/SourceCodeLabOfficial/,Yes,,
online casino,Inactive,2373498109673959,7 Jan 2025 - 30 Jan 2026,Raise Your Edge,https://web.facebook.com/100083315168225/,Yes,"💰 A casino, or a gambler 🎲
Who would you rather be? 

In poker, you can BECOME the casino and regularly rake in the profits 📈.

🎓I put together an online course that helps you learn all the skills necessary to win at poker.
🔥 Over 25,000 people  are already learning with it.

So start with my free course  and learn how you can turn poker into your own casino 🚀.",https://video.fpnh5-3.fna.fbcdn.net/o1/v/t2/f2/m69/AQP5cMHlkf6qw3KY2w3AQxChWd5F7o1mZGF2P4b_-84xY38-Ov0r0YemcjPVhltFoGcmwjnFvKH9al2WcMg2qiH9.mp4?strext=1&_nc_cat=104&_nc_oc=Adoc4tqLyYNttS8MVdzR5EgTTUAq4NByRvfljVoJFx7bCobLEZCeQ1dwtP_UnBMHIZ8&_nc_sid=8bf8fe&_nc_ht=video.fpnh5-3.fna.fbcdn.net&_nc_ohc=9_Xj3gi4kvEQ7kNvwGDsQl7&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6OTg1MTAxNjMzNDczNzM3LCJhc3NldF9hZ2VfZGF5cyI6NDkxLCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6NzAsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=i6Rk4OY5jzUK0sOAzzeLFQ&_nc_ss=7f289&_nc_zt=28&oh=00_Af7KGubP_R7iyyftyXqM-Q129n2avPAK6kIsjrYW5EwZuw&oe=6A0B5CEA
online casino,Inactive,24054085917563721,7 Jul 2025 - 27 Jul 2025,Dance Delight,https://web.facebook.com/61576237941547/,Yes,rachelkassenoffmd.com,https://scontent.fpnh5-2.fna.fbcdn.net/v/t39.35426-6/516091890_1898844860877950_5716280155773705003_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=109&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=z0hqtIWV9vUQ7kNvwEoQHmB&_nc_oc=AdrDYulzME0zyKnDN85DtdL8G_b7L-WtZxqysZjRrk2Hxj1hxnGElYlHqcwAsjeJofY&_nc_zt=14&_nc_ht=scontent.fpnh5-2.fna&_nc_gid=i6Rk4OY5jzUK0sOAzzeLFQ&_nc_ss=7f289&oh=00_Af6O7w761rqHnicpCoflcUFYx9RnEzvIjw1UDhx8cNniAQ&oe=6A0B806F
online casino,Inactive,1232898521909809,25 Jun 2025 - 11 Dec 2025,Blackjack Apprenticeship | Blackjack Strategy & Card Counting,https://web.facebook.com/blackjackapprenticeship/,Yes,"We know what you're thinking. There's no way winning money at the casino playing blackjack is easy.

And it's not. Well, it's not unless you're trained by some of the best card counters in the world.

That's where Blackjack Apprenticeship comes in.

Not only do we teach you how to count cards, we help TRAIN you to do it with all of the distractions of the casino, perform under pressure, and do it time and time again profitably.

Our comprehensive lessons, insider-only casino database, and unparalleled community give you all of the tools you need to beat the casino as a hobbiest, or a full-time card counter.

Take advantage of your down time. Click to learn more.",https://video.fpnh5-3.fna.fbcdn.net/o1/v/t2/f2/m69/AQPosdlB2L07Liopf8Ar2WZr8sPvgS9NlXTlrmTHBb6a8X9CnzSs6hw-qZTUpKWeS192vrh0Udb9dubdeK9qlhzS.mp4?strext=1&_nc_cat=108&_nc_oc=AdofqLzBJA1tA7IssWn8DbudNxfzTeG3QWqEDUj7dYVKUmzcZ4lKX0fPK2eHDQeOrlw&_nc_sid=8bf8fe&_nc_ht=video.fpnh5-3.fna.fbcdn.net&_nc_ohc=q05vqs-Ce1IQ7kNvwFSaXfm&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLmFzaWNfaHExX3NkX3Byb2dyZXNzaXZlIiwieHB2X2Fzc2V0X2lkIjoxNTY2MzA1NTYxMjI0MTEzLCJhc3NldF9hZ2VfZGF5cyI6MTc0LCJ2aV91c2VjYXNlX2lkIjoxMDY4MCwiZHVyYXRpb25fcyI6MTE1LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=i6Rk4OY5jzUK0sOAzzeLFQ&_nc_ss=7f289&_nc_zt=28&oh=00_Af7cVKABDzgLzPV_g-JBlcsq1arh5ALTKOA45lrAXu3yVg&oe=6A0B6682
online casino,Inactive,24752618667659505,6 Jul 2025 - 21 Jul 2025,Swift Deals,https://web.facebook.com/61573609469217/,Yes,rachelkassenoffmd.com,https://scontent.fpnh5-3.fna.fbcdn.net/v/t39.35426-6/515706635_1061362552752843_7236557445870633075_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=104&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=qJziNE05RmAQ7kNvwGQdpNk&_nc_oc=AdpIutwDCfuhM8dahpKo-6Lx09tAyHJziRhcBeGBpyceh9WR13F3XIYkSIF4EfW0c0Q&_nc_zt=14&_nc_ht=scontent.fpnh5-3.fna&_nc_gid=i6Rk4OY5jzUK0sOAzzeLFQ&_nc_ss=7f289&oh=00_Af4hM7QxzWqQY52YGVPv_-f5XzGPE0HXF_n6y-E1D1WHSQ&oe=6A0B76FD
online casino,Inactive,2195079927996775,4 May 2026 - 13 May 2026,Ns-Owl-001,https://web.facebook.com/61585017485587/,Yes,बहिष्कृत से बादशाह,https://video.fpnh5-3.fna.fbcdn.net/o1/v/t2/f2/m412/AQN1h8KC2dbkx3MlZ1wkZs9sz_FUxp5L7iRjcSm1In7h2gj9oVxSFdPkV_VxN0cT0IvvbGTMS8v4lz5csueg1A4ncJ3I03zQLf-1PzkY0w.mp4?_nc_cat=108&_nc_oc=AdrsDWGB2_oU5BUKM67KNrk0icwOAZ0poYY0LQoWptK6s0eFnqooIpJ4PRxbYck2pgQ&_nc_sid=8bf8fe&_nc_ht=video.fpnh5-3.fna.fbcdn.net&_nc_ohc=9f6m8rSw-3wQ7kNvwFIKDfR&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MjA2MzkzNDE3MDg1NzM2OCwiYXNzZXRfYWdlX2RheXMiOjEyLCJ2aV91c2VjYXNlX2lkIjoxMDEzOSwiZHVyYXRpb25fcyI6ODM1LCJ1cmxnZW5fc291cmNlIjoid3d3In0%3D&ccb=17-1&_nc_gid=i6Rk4OY5jzUK0sOAzzeLFQ&_nc_ss=7f289&_nc_zt=28&oh=00_Af6rvNHuoe6LqyfMByyEnDN9Afs8qYFp679vhNYr0QnkQw&oe=6A0B820A
