keyword,status,library_id,date,page_name,page_link,sponsored,ad_text,media_url
slot machine,Inactive,1050390463811306,9 Apr 2025 - 29 Jun 2025,Slotomania - Slot Machines,https://web.facebook.com/slotomania/,Yes,"🎰Come Back Now, Spin 50 times, AND GET CiviliTreasures Game Mania for 24 Hours 🔥🤑",https://scontent.fpnh5-6.fna.fbcdn.net/v/t39.35426-6/490109690_1229705634658552_3503664659239900315_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=111&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=08TFRONsOS4Q7kNvwHnAagj&_nc_oc=AdrfHltGmau5CgOfJkltkwH8pIT4Z4y4P5hdjTtpcKGqgkO9YxLPn5c0oKeJEdSOxR4&_nc_zt=14&_nc_ht=scontent.fpnh5-6.fna&_nc_gid=2CsdpEpeB7cXI6hvONWlUg&_nc_ss=7b289&oh=00_Af3xrJYJxoArpLTKmRRdXaOR5ShgBZSU1BhCX0H37NR_bg&oe=69F8EBDA
slot machine,Inactive,689635457459526,20 Aug 2025 - 23 Aug 2025,INAIR,https://web.facebook.com/inairglass/,Yes,"🎰 #LuckyDraw Your gameplay could turn into real-life rewards✨

1️. Watch the slot machine spin
2️️. Screenshot your result
3️️. Drop it in the comments

Land 3 #INAIR2Pro 👓 = win a mystery gift
Land 3 different icons 💰 = DM us for a $30 discount on INAIR 2 Pro

With #INAIR, games don’t just stay on your screen, they leap into your world in full 3D. 
🔗 Click  to discover more

#3Dgaming #Gamescom #Gamescom2025 #ARglasses #Giveaway",https://video.fpnh5-6.fna.fbcdn.net/o1/v/t2/f2/m366/AQNzx05pM6qOeHzCRyg1VPlFML6g9WriYSCtjrfdVNKaRGygR26KA-qy8isZjgEgSa7VgmwBcg26969saXjML9YpkRoA-FfTscFNm-BOBw.mp4?_nc_cat=111&_nc_oc=AdqYDnojUyQv5gPbgkKVznY9Oa2xS2V9AoJp2cSl-bMSvX67gCjOpKX8j1C635F9vjI&_nc_sid=8bf8fe&_nc_ht=video.fpnh5-6.fna.fbcdn.net&_nc_ohc=VHfurLBdWUMQ7kNvwHIgqLM&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6NzY0OTkzMjU5NjE2NDEyLCJhc3NldF9hZ2VfZGF5cyI6MjUyLCJ2aV91c2VjYXNlX2lkIjoxMDEyMiwiZHVyYXRpb25fcyI6OCwidXJsZ2VuX3NvdXJjZSI6Ind3dyJ9&ccb=17-1&_nc_gid=2CsdpEpeB7cXI6hvONWlUg&_nc_ss=7b289&_nc_zt=28&oh=00_Af1c8ibc7YNFB6ehVvP1A34cR99WpqvUHEueKjE-Ku-yVw&oe=69F8C67B
slot machine,Inactive,1283030086477431,10 Sep 2025 - 14 Nov 2025,Slotomania - Slot Machines,https://web.facebook.com/slotomania/,Yes,"🎰🎉Have you met our brand new Cleopatra II Slot Machine, Straight from the Casino Floors?!🎉🎰
Spin NOW🎁",https://scontent.fpnh5-3.fna.fbcdn.net/v/t39.35426-6/538902419_1070459048218038_7858591724546077205_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=108&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=0xl4jcP2bRUQ7kNvwH2TCfm&_nc_oc=AdrT0kqbni6CX3alUozOZs-08ja_olVXJjxfuJLRIRMnivlnUL9T4TPzI-IwaazAlJo&_nc_zt=14&_nc_ht=scontent.fpnh5-3.fna&_nc_gid=2CsdpEpeB7cXI6hvONWlUg&_nc_ss=7b289&oh=00_Af26hObpiLfdTII22PsRzdxWUYGtzTaOYWjd-FbnKbRMCA&oe=69F8D720
slot machine,Inactive,1420068729102429,31 Aug 2025 - 23 Feb 2026,Slots Bingo Free,https://web.facebook.com/SlotsBingoFree/,Yes,🎰 Play The Best SLOT-Machine GAMES!,https://scontent.fpnh5-6.fna.fbcdn.net/v/t39.35426-6/537510822_634675485957876_8223416067045520904_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=103&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=Fsuq2EMzDWYQ7kNvwGOLFXc&_nc_oc=Adpv-dSSlKD_0aEeW6eYVw2tg6pTM15VIecGN1VjqmjN_My8zPPEJSUg9QCHhMWyCxs&_nc_zt=14&_nc_ht=scontent.fpnh5-6.fna&_nc_gid=2CsdpEpeB7cXI6hvONWlUg&_nc_ss=7b289&oh=00_Af2YG36cgWc0nInUR-IHUzfSe6FGhoPAPIvRibpvSysnzw&oe=69F8C961
slot machine,Inactive,1613146482672478,1 Apr 2025 - 4 Jun 2025,Slotomania - Slot Machines,https://web.facebook.com/slotomania/,Yes,"🎰🎉Have you met our brand new Cleopatra II Slot Machine, Straight from the Casino Floors?!🎉🎰
Spin NOW🎁",https://scontent.fpnh5-1.fna.fbcdn.net/v/t39.35426-6/474531417_1373319980499380_878257038094753615_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=105&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=6oW3r7BcW40Q7kNvwG__DxR&_nc_oc=AdrAO5TZrx_0LscLAQGMM4eaNDNqvqgYczU0ok0dG3eAqNQ9LhFFGEZ-BWcljvC9cRs&_nc_zt=14&_nc_ht=scontent.fpnh5-1.fna&_nc_gid=2CsdpEpeB7cXI6hvONWlUg&_nc_ss=7b289&oh=00_Af2Nhs3t6EZHpAPD_p1h4YdJ_5eKq4TQdt4Cq_Pw8Xl-pg&oe=69F8EA68
slot machine,Inactive,1552995403503294,17 Mar 2026 - 9 Apr 2026,Starter School,https://web.facebook.com/mystarterschool/,Yes,"I’ve been tracking A.I. developments since 2020 and what I’m seeing now is alarming. Most schools are stuck not knowing what to do.

And it's worse now... because in the last 6 weeks, there are 2 major A.I. upgrades that made Silicon Valley engineers say: ""oh crap..  coders are in trouble…”

Something so simple that a 9-year-old could run circles around most adults with it.

#1: The rise of ""A.I. Worker"" Bots—also known as A.I. agents.

#2: A new type of A.I. that codes better and faster than even the best software engineers at NASA

For this reason, I'm hosting a one-time live stream discussion on Zoom titled:

""How To Future-Proof Your Teenager's Education In The Face Of New A.I. Advancements""

You'll Discover:

◆  The 2 A.I. upgrades from the last 6 weeks that made engineers say ""oh crap""—and why one keeps looping until your kid's future job is done.

◆ Why the phrase ""learn to code"" is now terrible advice for your teenager (and what to tell them instead before they waste 4 years on a degree that's being automated as you read this).

◆ 18 industries your teen should avoid at all costs—including 3 that guidance counselors are still pushing as ""safe careers.""

◆ How smart is A.I. in 2026? I'll show you something live that will make your stomach drop. Most parents have no idea what their kids are competing against.

◆ What ""A.I.-resistant education"" actually means when your teen is 16—not theory, not buzzwords, but the specific skills that can't be automated in the next decade. (And no, it's definitely NOT coding.)

◆ Why ""getting good grades"" is now the educational equivalent of getting really good at operating a fax machine.

Register by tapping on this post and selecting one of the two time slots.

📹 Even if you can't make it, make sure to still register so you get the replay and reminders.

If you CAN make it live, you'll be glad there's a Live Q&A… because I know there will be questions on your mind you'd like answers to. 💬

Tap on the post and select one of the time slots.

Our Zoom plan only has 200 spots so register now and set a reminder so you don't miss it.",https://video.fpnh5-2.fna.fbcdn.net/o1/v/t2/f2/m412/AQN-b5bfosrNjUliXsODtlrEsEjKZScDYEzqKr7fgAG5kQ23iL-N4ErXY24fQ9WdsBE2DLen1F-1fy7umTPWfGZ-pcSiwEZtPPBZgAscEQ.mp4?_nc_cat=107&_nc_oc=AdpMKoVyc5Y1_SKamlLKlkC-1IcFqevOgs6Eeg2u0uIjjAaj9FDxVgC-vO0N28HH0Hw&_nc_sid=8bf8fe&_nc_ht=video.fpnh5-2.fna.fbcdn.net&_nc_ohc=VdtmQ1Kj8mcQ7kNvwGrZbYK&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLnN2ZV9zZCIsInhwdl9hc3NldF9pZCI6MjAxNzQxMjg1NTgxNTE3MiwiYXNzZXRfYWdlX2RheXMiOjY0LCJ2aV91c2VjYXNlX2lkIjoxMDc5OSwiZHVyYXRpb25fcyI6NDYsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=2CsdpEpeB7cXI6hvONWlUg&_nc_ss=7b289&_nc_zt=28&oh=00_Af31ge1RNQY1zsovmkelxHCL2Nh_DWCwQsRkDacZFid0XQ&oe=69F8F69B
slot machine,Inactive,701358372809425,30 Jun 2025 - 23 Feb 2026,Apps-4-Free,https://web.facebook.com/GameApps4Free/,Yes,🍀 The Best SLOT-Machine GAMES! 🍀,https://scontent.fpnh5-4.fna.fbcdn.net/v/t39.35426-6/514275674_700426712755240_193421992395633519_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=100&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=LfYIGKrTiSAQ7kNvwG8O4HX&_nc_oc=AdpcObOsQ76S9O8PJUmv2xWkv5niKlSWy9fCHRzRjOyF-F4LolslIbnjLSu-8b8fZ6g&_nc_zt=14&_nc_ht=scontent.fpnh5-4.fna&_nc_gid=2CsdpEpeB7cXI6hvONWlUg&_nc_ss=7b289&oh=00_Af0HjsB78TCOGOWlR9JUOXsKoUVmbl8ZfSVRbBltvRfg8w&oe=69F8E336
slot machine,Inactive,1235568484612606,3 Jun 2025 - 24 Feb 2026,Slots Bingo Free,https://web.facebook.com/SlotsBingoFree/,Yes,🎰 Play The Best SLOT-Machine GAMES!,https://scontent.fpnh5-4.fna.fbcdn.net/v/t39.35426-6/502629119_688734210720610_3089017923957526681_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=101&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=ERi5hhBB0_4Q7kNvwELPhAv&_nc_oc=Ado7rCKzwSdMqbE5z7cABEflY6W0kGJn9n5sDAFm19EyTpgTCVVvCLTeCTUs1pwAyWQ&_nc_zt=14&_nc_ht=scontent.fpnh5-4.fna&_nc_gid=2CsdpEpeB7cXI6hvONWlUg&_nc_ss=7b289&oh=00_Af0au3HnYSE5vCHuADLlw6fuswlvffkvvUvvHN7zedUarg&oe=69F8EB90
slot machine,Inactive,566864376401471,26 Feb 2025 - 14 May 2025,Jackpot Crush Featuring IGT,https://web.facebook.com/100090784806069/,Yes,"🔥 15,000,000 Welcome Free Coins 🔥
💎Countless AMAZING themes💎
😍 Try Your Luck and Play It NOW 😍",https://video.fpnh5-3.fna.fbcdn.net/o1/v/t2/f2/m69/AQMSgbtd26j38wPpe-NTCcZ5g5I_V5qMe4PZQW1ocSql7AztKCyxNdDkPXAVlc0UBgKpvIHQGiy5gGoCRdxVwTw9.mp4?strext=1&_nc_cat=104&_nc_oc=AdpN8snVaEejihq16KdnrEpLdZZ_ekHoAqR0e61pOYGeeSmBmIpa1Yip9g_S44d5NPo&_nc_sid=8bf8fe&_nc_ht=video.fpnh5-3.fna.fbcdn.net&_nc_ohc=Q2Xx-M4CYYQQ7kNvwGAhLsf&efg=eyJ2ZW5jb2RlX3RhZyI6Inhwdl9wcm9ncmVzc2l2ZS5WSV9VU0VDQVNFX1BST0RVQ1RfVFlQRS4uQzMuMzYwLmFzaWNfaHExX3NkX3Byb2dyZXNzaXZlIiwieHB2X2Fzc2V0X2lkIjoxNzMxMTI0NTE0MjIyOTIwLCJhc3NldF9hZ2VfZGF5cyI6MTYzLCJ2aV91c2VjYXNlX2lkIjoxMDY4MCwiZHVyYXRpb25fcyI6NTMsInVybGdlbl9zb3VyY2UiOiJ3d3cifQ%3D%3D&ccb=17-1&_nc_gid=2CsdpEpeB7cXI6hvONWlUg&_nc_ss=7b289&_nc_zt=28&oh=00_Af0cZZHyh4fTuznOnpkKJuoW9W9IjZ1Qozrb8D5f29XYCw&oe=69F8D702
slot machine,Inactive,2309831486068150,13 Jan 2025 - 8 May 2025,Apps-4-Free,https://web.facebook.com/GameApps4Free/,Yes,🍀 The Best SLOT-Machine GAMES! 🍀,https://scontent.fpnh5-2.fna.fbcdn.net/v/t39.35426-6/473234302_2781166368752465_6083306604949390986_n.jpg?stp=dst-jpg_s600x600_tt6&_nc_cat=107&ccb=1-7&_nc_sid=c53f8f&_nc_ohc=BbNMEPZaDHIQ7kNvwH9lECY&_nc_oc=AdqLdpmfN7auKj5eR5vI6aLjgU2ypP-msKKjO9KcndnVYx6ML2FKn0HY-f7phxhWc9Y&_nc_zt=14&_nc_ht=scontent.fpnh5-2.fna&_nc_gid=2CsdpEpeB7cXI6hvONWlUg&_nc_ss=7b289&oh=00_Af19JUMbt2ALYDMma6RETVomXOgsqxObSk57orrWWz3lPw&oe=69F8E1FA
